사고번호,사고일시,사고장소,사고시간,구,구변수
2021072700100006,2021년 7월 27일 00시,대구광역시 북구 읍내동,0,북구,4
2021072700100439,2021년 7월 27일 17시,대구광역시 수성구 신매동,17,수성구,6
2021072700100490,2021년 7월 27일 18시,대구광역시 북구 구암동,18,북구,4
2021072800100136,2021년 7월 28일 09시,대구광역시 남구 대명동,9,남구,0
2021072800100138,2021년 7월 28일 09시,대구광역시 달성군 화원읍,9,달성군,2
2021072800100302,2021년 7월 28일 14시,대구광역시 남구 봉덕동,14,남구,0
2021072800100482,2021년 7월 28일 18시,대구광역시 중구 남산동,18,중구,7
2021072800100541,2021년 7월 28일 20시,대구광역시 북구 동천동,20,북구,4
2021072800100597,2021년 7월 28일 22시,대구광역시 서구 비산동,22,서구,5
2021072900100160,2021년 7월 29일 10시,대구광역시 달서구 송현동,10,달서구,1
2021072900100269,2021년 7월 29일 13시,대구광역시 중구 덕산동,13,중구,7
2021072900100401,2021년 7월 29일 17시,대구광역시 수성구 파동,17,수성구,6
2021072900100515,2021년 7월 29일 21시,대구광역시 서구 비산동,21,서구,5
2021072900100548,2021년 7월 29일 22시,대구광역시 중구 삼덕동1가,22,중구,7
2021073000100038,2021년 7월 30일 06시,대구광역시 북구 침산동,6,북구,4
2021073000100061,2021년 7월 30일 07시,대구광역시 달서구 신당동,7,달서구,1
2021073000100385,2021년 7월 30일 16시,대구광역시 달서구 두류동,16,달서구,1
2021073000100526,2021년 7월 30일 20시,대구광역시 서구 이현동,20,서구,5
2021073000100527,2021년 7월 30일 20시,대구광역시 달서구 호림동,20,달서구,1
2021073000100593,2021년 7월 30일 22시,대구광역시 동구 신서동,22,동구,3
2021073100100024,2021년 7월 31일 01시,대구광역시 동구 신암동,1,동구,3
2021073100100046,2021년 7월 31일 05시,대구광역시 동구 효목동,5,동구,3
2021073100100094,2021년 7월 31일 09시,대구광역시 서구 평리동,9,서구,5
2021073100100292,2021년 7월 31일 14시,대구광역시 북구 산격동,14,북구,4
2021073100100399,2021년 7월 31일 17시,대구광역시 북구 태전동,17,북구,4
2021073100100491,2021년 7월 31일 20시,대구광역시 동구 효목동,20,동구,3
2021073100100522,2021년 7월 31일 21시,대구광역시 달서구 용산동,21,달서구,1
2021073100100545,2021년 7월 31일 22시,대구광역시 동구 효목동,22,동구,3
2021073100100546,2021년 7월 31일 22시,대구광역시 동구 율하동,22,동구,3
2021080100100088,2021년 8월 1일 10시,대구광역시 북구 산격동,10,북구,4
2021080100100249,2021년 8월 1일 16시,대구광역시 달서구 용산동,16,달서구,1
2021080100100345,2021년 8월 1일 19시,대구광역시 달서구 송현동,19,달서구,1
2021080100100441,2021년 8월 1일 22시,대구광역시 수성구 신매동,22,수성구,6
2021080200100032,2021년 8월 2일 05시,대구광역시 수성구 수성동3가,5,수성구,6
2021080200100212,2021년 8월 2일 12시,대구광역시 동구 지묘동,12,동구,3
2021080200100285,2021년 8월 2일 14시,대구광역시 남구 대명동,14,남구,0
2021080200100399,2021년 8월 2일 17시,대구광역시 북구 태전동,17,북구,4
2021080400100116,2021년 8월 4일 09시,대구광역시 북구 칠성동1가,9,북구,4
2021080400100152,2021년 8월 4일 10시,대구광역시 중구 대신동,10,중구,7
2021080400100427,2021년 8월 4일 17시,대구광역시 서구 평리동,17,서구,5
2021080400100501,2021년 8월 4일 19시,대구광역시 동구 율하동,19,동구,3
2021080400100502,2021년 8월 4일 19시,대구광역시 수성구 두산동,19,수성구,6
2021080400100532,2021년 8월 4일 20시,대구광역시 동구 신암동,20,동구,3
2021080500100158,2021년 8월 5일 10시,대구광역시 달서구 용산동,10,달서구,1
2021080500100273,2021년 8월 5일 13시,대구광역시 수성구 수성동2가,13,수성구,6
2021080500100345,2021년 8월 5일 15시,대구광역시 수성구 만촌동,15,수성구,6
2021080500100346,2021년 8월 5일 15시,대구광역시 달서구 도원동,15,달서구,1
2021080500100381,2021년 8월 5일 16시,대구광역시 북구 태전동,16,북구,4
2021080500100426,2021년 8월 5일 17시,대구광역시 동구 지저동,17,동구,3
2021080600100017,2021년 8월 6일 04시,대구광역시 북구 읍내동,4,북구,4
2021080600100060,2021년 8월 6일 07시,대구광역시 달서구 성당동,7,달서구,1
2021080600100489,2021년 8월 6일 18시,대구광역시 달성군 다사읍,18,달성군,2
2021080600100570,2021년 8월 6일 20시,대구광역시 달성군 다사읍,20,달성군,2
2021080600100590,2021년 8월 6일 21시,대구광역시 달서구 성당동,21,달서구,1
2021080700100008,2021년 8월 7일 00시,대구광역시 달서구 두류동,0,달서구,1
2021080700100478,2021년 8월 7일 20시,대구광역시 수성구 수성동1가,20,수성구,6
2021080700100479,2021년 8월 7일 20시,대구광역시 달서구 용산동,20,달서구,1
2021080700100559,2021년 8월 7일 23시,대구광역시 수성구 수성동3가,23,수성구,6
2021080800100028,2021년 8월 8일 02시,대구광역시 서구 비산동,2,서구,5
2021080800100185,2021년 8월 8일 14시,대구광역시 동구 지묘동,14,동구,3
2021080800100373,2021년 8월 8일 20시,대구광역시 북구 태전동,20,북구,4
2021080800100416,2021년 8월 8일 22시,대구광역시 북구 사수동,22,북구,4
2021080900100039,2021년 8월 9일 06시,대구광역시 서구 내당동,6,서구,5
2021080900100280,2021년 8월 9일 13시,대구광역시 남구 봉덕동,13,남구,0
2021080900100353,2021년 8월 9일 15시,대구광역시 동구 지묘동,15,동구,3
2021080900100516,2021년 8월 9일 19시,대구광역시 동구 방촌동,19,동구,3
2021081000100009,2021년 8월 10일 01시,대구광역시 달서구 장기동,1,달서구,1
2021081000100125,2021년 8월 10일 10시,대구광역시 북구 칠성동2가,10,북구,4
2021081000100207,2021년 8월 10일 12시,대구광역시 수성구 매호동,12,수성구,6
2021081000100302,2021년 8월 10일 15시,대구광역시 남구 봉덕동,15,남구,0
2021081000100406,2021년 8월 10일 18시,대구광역시 동구 율하동,18,동구,3
2021081000100455,2021년 8월 10일 19시,대구광역시 달서구 파호동,19,달서구,1
2021081100100116,2021년 8월 11일 09시,대구광역시 서구 내당동,9,서구,5
2021081100100299,2021년 8월 11일 15시,대구광역시 남구 봉덕동,15,남구,0
2021081200100014,2021년 8월 12일 03시,대구광역시 달성군 하빈면,3,달성군,2
2021081200100390,2021년 8월 12일 17시,대구광역시 달서구 상인동,17,달서구,1
2021081200100472,2021년 8월 12일 19시,대구광역시 북구 노원동2가,19,북구,4
2021081200100502,2021년 8월 12일 20시,대구광역시 달서구 두류동,20,달서구,1
2021081300100160,2021년 8월 13일 11시,대구광역시 수성구 범어동,11,수성구,6
2021081300100272,2021년 8월 13일 14시,대구광역시 서구 비산동,14,서구,5
2021081300100312,2021년 8월 13일 15시,대구광역시 서구 내당동,15,서구,5
2021081300100346,2021년 8월 13일 16시,대구광역시 서구 내당동,16,서구,5
2021081300100400,2021년 8월 13일 17시,대구광역시 동구 지묘동,17,동구,3
2021081300100402,2021년 8월 13일 17시,대구광역시 달서구 죽전동,17,달서구,1
2021081300100568,2021년 8월 13일 22시,대구광역시 달서구 상인동,22,달서구,1
2021081300100569,2021년 8월 13일 22시,대구광역시 달서구 감삼동,22,달서구,1
2021081400100179,2021년 8월 14일 12시,대구광역시 달서구 상인동,12,달서구,1
2021081400100474,2021년 8월 14일 21시,대구광역시 달성군 다사읍,21,달성군,2
2021081500100010,2021년 8월 15일 00시,대구광역시 달서구 장기동,0,달서구,1
2021081500100147,2021년 8월 15일 12시,대구광역시 동구 도학동,12,동구,3
2021081500100238,2021년 8월 15일 15시,대구광역시 동구 신천동,15,동구,3
2021081600100065,2021년 8월 16일 09시,대구광역시 서구 평리동,9,서구,5
2021081600100142,2021년 8월 16일 12시,대구광역시 서구 비산동,12,서구,5
2021081600100185,2021년 8월 16일 13시,대구광역시 북구 노원동2가,13,북구,4
2021081600100222,2021년 8월 16일 14시,대구광역시 남구 대명동,14,남구,0
2021081600100357,2021년 8월 16일 18시,대구광역시 북구 산격동,18,북구,4
2021081600100458,2021년 8월 16일 22시,대구광역시 달서구 진천동,22,달서구,1
2021081700100151,2021년 8월 17일 10시,대구광역시 서구 내당동,10,서구,5
2021081700100590,2021년 8월 17일 23시,대구광역시 북구 동천동,23,북구,4
2021081800100513,2021년 8월 18일 20시,대구광역시 달서구 월성동,20,달서구,1
2021081800100570,2021년 8월 18일 22시,대구광역시 동구 신암동,22,동구,3
2021081800100589,2021년 8월 18일 23시,대구광역시 달성군 다사읍,23,달성군,2
2021081900100117,2021년 8월 19일 09시,대구광역시 수성구 범어동,9,수성구,6
2021081900100196,2021년 8월 19일 11시,대구광역시 달서구 용산동,11,달서구,1
2021081900100415,2021년 8월 19일 17시,대구광역시 남구 대명동,17,남구,0
2021081900100416,2021년 8월 19일 17시,대구광역시 달서구 진천동,17,달서구,1
2021081900100418,2021년 8월 19일 17시,대구광역시 달서구 신당동,17,달서구,1
2021081900100522,2021년 8월 19일 20시,대구광역시 달서구 송현동,20,달서구,1
2021081900100549,2021년 8월 19일 21시,대구광역시 수성구 파동,21,수성구,6
2021081900100572,2021년 8월 19일 22시,대구광역시 서구 비산동,22,서구,5
2021082000100076,2021년 8월 20일 08시,대구광역시 서구 중리동,8,서구,5
2021082000100166,2021년 8월 20일 11시,대구광역시 남구 대명동,11,남구,0
2021082000100213,2021년 8월 20일 12시,대구광역시 달서구 유천동,12,달서구,1
2021082000100476,2021년 8월 20일 18시,대구광역시 북구 태전동,18,북구,4
2021082000100518,2021년 8월 20일 19시,대구광역시 수성구 범물동,19,수성구,6
2021082000100549,2021년 8월 20일 20시,대구광역시 달서구 상인동,20,달서구,1
2021082000100642,2021년 8월 20일 23시,대구광역시 달서구 신당동,23,달서구,1
2021082100100104,2021년 8월 21일 10시,대구광역시 수성구 시지동,10,수성구,6
2021082100100295,2021년 8월 21일 15시,대구광역시 중구 동산동,15,중구,7
2021082100100323,2021년 8월 21일 16시,대구광역시 북구 복현동,16,북구,4
2021082100100356,2021년 8월 21일 17시,대구광역시 서구 평리동,17,서구,5
2021082200100122,2021년 8월 22일 12시,대구광역시 수성구 신매동,12,수성구,6
2021082200100186,2021년 8월 22일 14시,대구광역시 동구 불로동,14,동구,3
2021082200100217,2021년 8월 22일 15시,대구광역시 달서구 감삼동,15,달서구,1
2021082200100334,2021년 8월 22일 20시,대구광역시 달성군 다사읍,20,달성군,2
2021082200100352,2021년 8월 22일 21시,대구광역시 수성구 신매동,21,수성구,6
2021082200100378,2021년 8월 22일 23시,대구광역시 북구 태전동,23,북구,4
2021082300100125,2021년 8월 23일 10시,대구광역시 남구 봉덕동,10,남구,0
2021082300100126,2021년 8월 23일 10시,대구광역시 동구 방촌동,10,동구,3
2021082300100128,2021년 8월 23일 10시,대구광역시 달서구 성당동,10,달서구,1
2021082300100384,2021년 8월 23일 17시,대구광역시 남구 봉덕동,17,남구,0
2021082300100469,2021년 8월 23일 19시,대구광역시 남구 봉덕동,19,남구,0
2021082300100517,2021년 8월 23일 20시,대구광역시 달서구 진천동,20,달서구,1
2021082300100578,2021년 8월 23일 22시,대구광역시 수성구 황금동,22,수성구,6
2021082300100599,2021년 8월 23일 23시,대구광역시 달서구 송현동,23,달서구,1
2021082400100086,2021년 8월 24일 08시,대구광역시 남구 대명동,8,남구,0
2021082400100151,2021년 8월 24일 11시,대구광역시 남구 대명동,11,남구,0
2021082400100185,2021년 8월 24일 12시,대구광역시 달서구 유천동,12,달서구,1
2021082400100318,2021년 8월 24일 16시,대구광역시 달서구 상인동,16,달서구,1
2021082400100472,2021년 8월 24일 20시,대구광역시 수성구 매호동,20,수성구,6
2021082400100500,2021년 8월 24일 21시,대구광역시 북구 동천동,21,북구,4
2021082400100532,2021년 8월 24일 22시,대구광역시 수성구 범어동,22,수성구,6
2021082400100534,2021년 8월 24일 22시,대구광역시 중구 남일동,22,중구,7
2021082500100034,2021년 8월 25일 05시,대구광역시 수성구 범어동,5,수성구,6
2021082500100149,2021년 8월 25일 10시,대구광역시 북구 읍내동,10,북구,4
2021082500100173,2021년 8월 25일 11시,대구광역시 수성구 범어동,11,수성구,6
