,lat,long
1355,35.8410584,128.5379327
1356,35.8276007,128.5440582
1359,35.8514917,128.5365384
1361,35.8218997,128.5232138
1362,35.8094378,128.5492168
1367,35.8239374,128.5231635
1370,35.8097394,128.5250114
1372,35.8222644,128.5270917
1377,35.8313967,128.5312146
1382,35.8339441,128.5465027
1386,35.8137973,128.5221185
1390,35.8307094,128.548222
1391,35.854259,128.5539768
1395,35.8573574,128.5058051
1404,35.8565412,128.5542555
1410,35.8576091,128.5287773
1414,35.8261696,128.5297572
1422,35.8550006,128.5528335
1424,35.815174,128.5236125
1427,35.8312607,128.5545834
1428,35.8064213,128.5204365
1430,35.8123459,128.5225203
1433,35.8332651,128.5472738
1437,35.8436049,128.5265278
1438,35.8547027,128.4933658
1442,35.8536418,128.5457649
1445,35.8395191,128.5466977
1453,35.8173827,128.5384497
1460,35.8417328,128.530126
1480,35.8564599,128.5309658
1486,35.8246294,128.5484948
1490,35.8434058,128.5528659
1494,35.8080635,128.5429787
1496,35.8189888,128.5312847
1501,35.8144314,128.5205949
1504,35.8472431,128.5073201
1526,35.8216364,128.5286841
1530,35.8105121,128.5464102
1534,35.8284111,128.5485557
1535,35.849586,128.5469735
1539,35.8273307,128.5312437
1544,35.8434886,128.5322259
1548,35.8536388,128.4970746
1553,35.8556206,128.4940005
1558,35.8424837,128.5415382
1564,35.8556294,128.5315426
1569,35.8521297,128.5553567
1572,35.8521113,128.5375572
1585,35.8558448,128.5590358
1591,35.8162814,128.5131472
1592,35.8616095,128.5706229
1595,35.8462608,128.5503907
1596,35.8499692,128.5079955
1603,35.8556162,128.5619231
1604,35.8172011,128.5390605
1605,35.8567804,128.5383464
1608,35.8592444,128.4996883
1609,35.8261692,128.5301363
1610,35.853665,128.4939998
1611,35.8070291,128.5237869
1613,35.852512,128.5373206
1619,35.8350542,128.4928352
1623,35.8103591,128.5155792
1628,35.8500768,128.5351112
1635,35.8421649,128.5559043
1636,35.8364492,128.548782
1645,35.812428,128.5231937
1657,35.8595292,128.5240211
1660,35.8517629,128.5419031
1665,35.8542169,128.5518169
1669,35.8170637,128.5397031
1675,35.8555496,128.500192
1676,35.8380901,128.5448374
1682,35.8380895,128.5487917
1683,35.8500832,128.5350923
1687,35.8319748,128.5312745
1693,35.8153934,128.5434699
1703,35.8353496,128.5559152
1707,35.8086834,128.512763
1712,35.8098666,128.5321678
1717,35.8078099,128.5191267
1724,35.857589,128.5296278
1726,35.8109588,128.5258653
1728,35.843515,128.5322466
1730,35.8534251,128.4779874
1731,35.8365475,128.5190094
1738,35.846459,128.5515838
1740,35.8380004,128.5486761
1744,35.8071014,128.5204322
1748,35.831968,128.5313122
1750,35.8337706,128.5311993
1751,35.8144979,128.5401878
1752,35.8085705,128.5272104
1758,35.8171267,128.5386473
1759,35.8555679,128.5280125
1766,35.807763,128.5564292
1767,35.8526381,128.5371622
1768,35.843029,128.5529412
1775,35.8536369,128.4955876
1782,35.8514162,128.4993063
1785,35.856882,128.5671901
1786,35.8497464,128.5447123
1789,35.8337321,128.5533147
1792,35.8086635,128.5515159
1793,35.8391368,128.4918405
1794,35.8387588,128.5568962
1795,35.8579998,128.494151
1798,35.8076047,128.5396301
1812,35.8150637,128.5205233
1816,35.8081968,128.5130871
1817,35.8526812,128.5103436
1820,35.8447882,128.5436769
1821,35.8064771,128.5416599
1826,35.8029533,128.5304149
1829,35.8378765,128.496703
1833,35.8533587,128.5541661
1844,35.8440672,128.5070761
1851,35.8616442,128.5205159
1852,35.8586983,128.5211728
1856,35.8370676,128.5306838
1859,35.8411803,128.536858
1861,35.8419707,128.5362899
1862,35.8552107,128.5075403
1867,35.8579996,128.5299093
1869,35.8391715,128.5507678
1872,35.8393755,128.5528161
1875,35.8372254,128.530826
1879,35.8129044,128.524558
1885,35.8522289,128.4857565
1893,35.8119101,128.525331
1897,35.837262,128.5561391
1899,35.8421512,128.541512
1901,35.8404765,128.5380463
1903,35.8435226,128.5436868
1906,35.8571797,128.5153202
1911,35.8399736,128.5310871
1912,35.8516811,128.5411045
1913,35.8555023,128.4941222
1915,35.8554149,128.506501
1921,35.8495565,128.5468013
1923,35.8420841,128.538303
1924,35.8434374,128.5146038
1926,35.8331754,128.5540124
1929,35.8166415,128.5396328
1939,35.8413117,128.5468236
1940,35.8374083,128.5445888
1944,35.8098085,128.5314973
1947,35.8189951,128.5335972
1949,35.8555085,128.4956278
1950,35.8415844,128.5528697
1955,35.8418961,128.5366299
1957,35.8587013,128.5223305
1960,35.8423352,128.5479833
1969,35.8501864,128.5143351
1975,35.8388002,128.5516182
1977,35.8286175,128.5529295
1983,35.8532038,128.5318739
1989,35.8406846,128.5528419
1991,35.8569392,128.5045481
1994,35.8496612,128.5347907
2000,35.8555355,128.5118574
2003,35.8206847,128.5254125
2007,35.8537331,128.57315
2010,35.8435948,128.5389386
2017,35.8124526,128.5248601
2018,35.8551914,128.4918775
2020,35.8517776,128.5412589
2021,35.850774,128.5475971
2027,35.8540857,128.5579127
2032,35.8081347,128.5487844
2033,35.8189731,128.5397261
2035,35.8548791,128.5531666
2038,35.8214411,128.5473903
2051,35.8125481,128.5278687
2060,35.8238681,128.5346119
2066,35.8075546,128.5203267
2072,35.8372261,128.5542585
2078,35.8590346,128.5099046
2079,35.8069316,128.5432848
2082,35.8502441,128.5202432
2086,35.8248057,128.5073341
2090,35.8093169,128.5274874
2092,35.8383622,128.5569635
2094,35.8147086,128.5270228
2095,35.8589742,128.5033068
2096,35.8435442,128.5341293
2107,35.8427933,128.5001067
2108,35.8553708,128.5097615
2110,35.8339004,128.540578
2113,35.8245135,128.5272272
2115,35.8582554,128.4646822
0,35.8370321,128.526253
1,35.8471815,128.5372932
2,35.8084199,128.5431743
3,35.8562181,128.5230866
4,35.8565047,128.5305922
5,35.8526472,128.5439277
6,35.8171767,128.5324868
7,35.8513768,128.5371502
