,사고번호,사고일시,시군구,구,lat,long
104,2021012000100349,2021년 1월 20일 15시,대구광역시 수성구 지산동,수성구,35.8283069,128.6279649
105,2021012100100151,2021년 1월 21일 10시,대구광역시 수성구 지산동,수성구,35.8228589,128.6270999
106,2021012100100188,2021년 1월 21일 11시,대구광역시 동구 불로동,동구,35.9104755,128.6410544
107,2021012100100299,2021년 1월 21일 15시,대구광역시 남구 대명동,남구,35.8560148,128.5829298
108,2021012100100303,2021년 1월 21일 15시,대구광역시 북구 침산동,북구,35.8845796,128.600525
109,2021012100100484,2021년 1월 21일 19시,대구광역시 달서구 상인동,달서구,35.8105256,128.546352
110,2021012100100486,2021년 1월 21일 19시,대구광역시 서구 평리동,서구,35.8705856,128.5583134
111,2021012100100524,2021년 1월 21일 20시,대구광역시 달성군 가창면,달성군,35.8035849,128.6220668
112,2021012100100570,2021년 1월 21일 21시,대구광역시 달서구 월성동,달서구,35.8222111,128.5306553
113,2021012100100572,2021년 1월 21일 21시,대구광역시 달서구 감삼동,달서구,35.8476445,128.5325892
114,2021012200100025,2021년 1월 22일 05시,대구광역시 중구 계산동2가,중구,35.8666409,128.5923107
115,2021012200100043,2021년 1월 22일 06시,대구광역시 서구 비산동,서구,35.8883618,128.5616242
116,2021012200100171,2021년 1월 22일 12시,대구광역시 수성구 황금동,수성구,35.8419224,128.6232172
117,2021012200100175,2021년 1월 22일 12시,대구광역시 남구 대명동,남구,35.8546711,128.5830564
118,2021012200100229,2021년 1월 22일 14시,대구광역시 수성구 범어동,수성구,35.8646353,128.6239478
119,2021012200100288,2021년 1월 22일 16시,대구광역시 수성구 수성동4가,수성구,35.8671714,128.615123
120,2021012200100289,2021년 1월 22일 16시,대구광역시 달서구 상인동,달서구,35.8180763,128.534654
121,2021012200100290,2021년 1월 22일 16시,대구광역시 북구 복현동,북구,35.9021802,128.618323
122,2021012200100291,2021년 1월 22일 16시,대구광역시 달서구 이곡동,달서구,35.8582176,128.5128353
123,2021012200100600,2021년 1월 22일 23시,대구광역시 동구 신암동,동구,35.8793241,128.6270727
124,2021012200100601,2021년 1월 22일 23시,대구광역시 달서구 월성동,달서구,35.8271761,128.5310449
125,2021012300100427,2021년 1월 23일 20시,대구광역시 달성군 다사읍,달성군,35.857768,128.4622788
126,2021012400100199,2021년 1월 24일 16시,대구광역시 동구 불로동,동구,35.9004427,128.6291391
127,2021012400100200,2021년 1월 24일 16시,대구광역시 서구 비산동,서구,35.8687718,128.5711593
128,2021012400100312,2021년 1월 24일 20시,대구광역시 중구 삼덕동1가,중구,35.8670876,128.597511
129,2021012500100212,2021년 1월 25일 12시,대구광역시 수성구 상동,수성구,35.8631868,128.626398
130,2021012500100323,2021년 1월 25일 15시,대구광역시 북구 태전동,북구,35.9185933,128.5477549
131,2021012500100356,2021년 1월 25일 16시,대구광역시 달성군 다사읍,달성군,35.8582554,128.4646822
132,2021012500100481,2021년 1월 25일 19시,대구광역시 달성군 다사읍,달성군,35.8777539,128.4985086
133,2021012600100018,2021년 1월 26일 02시,대구광역시 북구 관음동,북구,35.9402775,128.54991
0,2021012600100309,2021년 1월 26일 15시,대구광역시 동구 신서동,,35.87332197,128.6012226
134,2021012600100415,2021년 1월 26일 18시,대구광역시 동구 율하동,동구,35.8631271,128.6950681
135,2021012600100468,2021년 1월 26일 19시,대구광역시 동구 방촌동,동구,35.8832296,128.6614994
136,2021012600100469,2021년 1월 26일 19시,대구광역시 수성구 시지동,수성구,35.8425347,128.6901383
1,2021012600100471,2021년 1월 26일 19시,대구광역시 북구 노원동3가,,35.88924171,128.5613693
137,2021012600100549,2021년 1월 26일 22시,대구광역시 달성군 하빈면,달성군,35.9143684,128.4512886
138,2021012700100016,2021년 1월 27일 03시,대구광역시 동구 검사동,동구,35.8843397,128.6539138
139,2021012700100180,2021년 1월 27일 12시,대구광역시 남구 대명동,남구,35.854303,128.5832885
140,2021012700100279,2021년 1월 27일 15시,대구광역시 동구 각산동,동구,35.8755459,128.7142613
141,2021012700100339,2021년 1월 27일 17시,대구광역시 달성군 다사읍,달성군,35.8713435,128.4988854
142,2021012700100431,2021년 1월 27일 19시,대구광역시 동구 괴전동,동구,35.8648199,128.7336124
143,2021012700100471,2021년 1월 27일 20시,대구광역시 남구 이천동,남구,35.8537069,128.5831842
144,2021012700100473,2021년 1월 27일 20시,대구광역시 수성구 신매동,수성구,35.8320358,128.7072634
145,2021012700100508,2021년 1월 27일 21시,대구광역시 달서구 성당동,달서구,35.8382081,128.557022
146,2021012800100061,2021년 1월 28일 08시,대구광역시 서구 평리동,서구,35.8681545,128.5561063
147,2021012800100086,2021년 1월 28일 09시,대구광역시 달서구 신당동,달서구,35.8548031,128.4984799
148,2021012800100438,2021년 1월 28일 19시,대구광역시 달서구 두류동,달서구,35.8595493,128.564905
149,2021012900100139,2021년 1월 29일 09시,대구광역시 동구 서호동,동구,35.866788,128.7115548
2,2021012900100141,2021년 1월 29일 09시,대구광역시 달서구 월성동,,35.83696706,128.5262938
150,2021012900100177,2021년 1월 29일 10시,대구광역시 수성구 범어동,수성구,35.8549614,128.6251821
151,2021012900100354,2021년 1월 29일 16시,대구광역시 달성군 다사읍,달성군,35.8725847,128.4776156
152,2021012900100439,2021년 1월 29일 18시,대구광역시 달서구 월성동,달서구,35.8308326,128.5312623
153,2021012900100566,2021년 1월 29일 21시,대구광역시 달서구 진천동,달서구,35.8159467,128.523158
154,2021013000100043,2021년 1월 30일 06시,대구광역시 달서구 두류동,달서구,35.8616531,128.5723759
155,2021013000100200,2021년 1월 30일 13시,대구광역시 북구 구암동,북구,35.931178,128.5555086
156,2021013000100394,2021년 1월 30일 18시,대구광역시 수성구 수성동1가,수성구,35.8501438,128.6084168
157,2021013000100430,2021년 1월 30일 19시,대구광역시 달서구 두류동,달서구,35.8556632,128.5524269
158,2021013000100468,2021년 1월 30일 20시,대구광역시 수성구 범물동,수성구,35.8037503,128.6629405
